                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.71632,                0.48153,                0.92926,                0.83807,                0.88842,                0.89305,                0.65437,                 1.0103,                0.64825,                 1.2181,              0.0012269,              0.0012269,              0.0012269
                     82,                0.71764,                0.47092,                0.94855,                0.84785,                0.88715,                0.90513,                0.64959,                 1.0221,                0.67508,                 1.2205,              0.0012214,              0.0012214,              0.0012214
                     83,                0.68509,                0.44552,                0.91044,                0.82797,                0.88149,                0.87611,                0.64546,                 1.0192,                0.69776,                 1.2157,              0.0012159,              0.0012159,              0.0012159
                     84,                 0.7316,                0.48941,                0.94689,                0.85047,                0.89103,                0.89002,                0.65859,                 0.9848,                0.67407,                 1.1849,              0.0012104,              0.0012104,              0.0012104
                     85,                 0.7086,                0.47007,                0.92726,                0.84033,                0.87864,                0.89015,                0.64855,                 1.0122,                0.65822,                 1.2226,              0.0012049,              0.0012049,              0.0012049
                     86,                0.74121,                0.48876,                0.94881,                0.83657,                0.84344,                 0.8721,                0.62765,                 1.0079,                0.70654,                  1.191,              0.0011994,              0.0011994,              0.0011994
                     87,                0.73918,                0.46202,                0.94502,                0.87164,                0.85826,                0.88982,                0.63968,                0.99879,                0.69176,                 1.2165,              0.0011939,              0.0011939,              0.0011939
                     88,                0.76656,                0.48047,                0.96224,                 0.8488,                0.88957,                0.88834,                0.65626,                0.97643,                 0.6885,                 1.2223,              0.0011884,              0.0011884,              0.0011884
                     89,                0.70656,                0.48867,                0.93055,                0.83262,                0.87543,                0.87704,                0.63129,                 1.0364,                0.69902,                 1.2289,              0.0011829,              0.0011829,              0.0011829
                     90,                0.70443,                0.48167,                0.93758,                0.81793,                0.87776,                0.86261,                0.60316,                 1.0659,                0.73866,                 1.2583,              0.0011774,              0.0011774,              0.0011774
                     91,                 0.6952,                0.48709,                0.94607,                0.84465,                0.85921,                0.87731,                0.65201,                0.96077,                0.69023,                 1.1918,              0.0011719,              0.0011719,              0.0011719
                     92,                0.72505,                0.50001,                0.94924,                0.87053,                0.84745,                0.88305,                0.64663,                0.98675,                0.69223,                  1.209,              0.0011664,              0.0011664,              0.0011664
                     93,                0.70851,                 0.4798,                0.92862,                 0.8606,                0.82491,                0.86685,                0.63232,                0.99243,                 0.7567,                 1.2215,              0.0011609,              0.0011609,              0.0011609
                     94,                0.68054,                0.44339,                0.90912,                0.83866,                0.89183,                0.87812,                0.64337,                0.97551,                0.67863,                 1.2143,              0.0011554,              0.0011554,              0.0011554
                     95,                0.69586,                0.48636,                0.93086,                0.79473,                0.89443,                0.89386,                0.64745,                 1.0061,                0.67302,                 1.2419,              0.0011499,              0.0011499,              0.0011499
                     96,                 0.6984,                 0.4764,                0.92823,                0.83051,                0.88051,                0.87948,                0.64126,                  1.018,                0.68235,                 1.2614,              0.0011444,              0.0011444,              0.0011444
                     97,                0.66458,                0.43599,                0.91733,                0.84747,                0.85594,                0.87742,                0.63852,                0.99569,                0.68671,                 1.2349,              0.0011389,              0.0011389,              0.0011389
                     98,                0.71894,                0.48301,                0.94485,                0.80734,                0.85222,                0.85019,                0.60687,                 1.0408,                 0.8143,                 1.2464,              0.0011334,              0.0011334,              0.0011334
                     99,                0.69049,                0.43392,                0.91727,                0.80893,                0.88142,                0.87491,                0.63012,                 1.0512,                0.76459,                 1.2639,              0.0011279,              0.0011279,              0.0011279
                    100,                 0.6789,                  0.449,                0.92005,                0.81738,                0.87763,                0.86702,                0.64143,                 1.0092,                0.74208,                 1.2535,              0.0011224,              0.0011224,              0.0011224
                    101,                0.67949,                0.43146,                0.91397,                0.84169,                0.87678,                0.87325,                0.64244,                 1.0025,                0.73724,                 1.2245,              0.0011169,              0.0011169,              0.0011169
                    102,                0.66535,                0.41726,                0.91099,                0.83495,                0.85123,                 0.8606,                 0.6328,                0.98233,                0.74498,                 1.2035,              0.0011114,              0.0011114,              0.0011114
                    103,                0.70362,                0.44301,                0.92473,                0.83122,                0.87769,                0.86884,                0.62953,                 1.0242,                0.77165,                 1.2038,              0.0011059,              0.0011059,              0.0011059
                    104,                0.65943,                0.44279,                0.91283,                0.81399,                0.88402,                0.87295,                0.64066,                 0.9956,                0.73151,                 1.2291,              0.0011004,              0.0011004,              0.0011004
                    105,                0.70651,                0.44764,                0.92597,                0.82111,                0.88178,                 0.8773,                0.65431,                 1.0009,                0.72584,                 1.2252,              0.0010949,              0.0010949,              0.0010949
                    106,                0.67442,                0.43808,                0.91385,                0.87315,                0.84213,                0.88259,                0.65819,                0.99044,                0.71632,                 1.2117,              0.0010894,              0.0010894,              0.0010894
                    107,                0.66586,                0.43986,                0.91024,                0.82933,                0.88849,                0.88916,                0.66539,                0.97469,                0.69832,                  1.212,              0.0010839,              0.0010839,              0.0010839
                    108,                0.70913,                0.45998,                0.92484,                0.83383,                0.89155,                0.87693,                0.65304,                0.95718,                0.67588,                 1.1893,              0.0010784,              0.0010784,              0.0010784
                    109,                0.65045,                0.44137,                0.91658,                0.82436,                 0.8812,                0.86384,                0.63809,                0.97112,                0.73053,                 1.2072,              0.0010729,              0.0010729,              0.0010729
                    110,                0.67028,                0.44522,                 0.9185,                0.85198,                0.84326,                0.85671,                0.62993,                0.97301,                 0.7496,                 1.2225,              0.0010674,              0.0010674,              0.0010674
                    111,                0.64997,                0.42372,                0.90621,                0.83393,                0.87567,                0.87281,                0.65093,                0.96863,                 0.7412,                 1.2109,              0.0010619,              0.0010619,              0.0010619
                    112,                0.63813,                0.42493,                0.90653,                0.84864,                0.86949,                0.87315,                0.64288,                0.97039,                0.70082,                 1.2233,              0.0010564,              0.0010564,              0.0010564
                    113,                0.64474,                0.43589,                0.92113,                0.85994,                0.85673,                0.86655,                0.63319,                 1.0016,                0.74768,                  1.242,              0.0010509,              0.0010509,              0.0010509
                    114,                 0.6372,                0.43205,                0.90628,                 0.8672,                0.86443,                0.86637,                 0.6322,                0.99305,                0.74708,                 1.2236,              0.0010454,              0.0010454,              0.0010454
                    115,                0.66137,                0.43839,                0.91647,                0.83591,                0.89798,                0.87761,                0.64629,                0.99245,                 0.7054,                 1.2318,              0.0010399,              0.0010399,              0.0010399
                    116,                0.63138,                0.42145,                0.89844,                0.85385,                0.87263,                0.86991,                 0.6455,                 0.9903,                0.70676,                 1.2388,              0.0010344,              0.0010344,              0.0010344
                    117,                0.62592,                0.40431,                0.89833,                0.79976,                 0.9044,                0.86458,                0.64021,                0.96916,                 0.7353,                 1.2047,              0.0010289,              0.0010289,              0.0010289
                    118,                0.62984,                0.42111,                 0.8906,                0.80085,                0.88346,                0.85282,                 0.6237,                 1.0036,                0.79922,                 1.2089,              0.0010234,              0.0010234,              0.0010234
                    119,                0.64455,                0.42565,                0.89428,                0.86288,                0.82804,                0.86077,                0.62541,                0.99072,                0.73634,                 1.1978,              0.0010179,              0.0010179,              0.0010179
                    120,                0.63941,                0.42368,                 0.8962,                0.83069,                0.88591,                 0.8761,                0.64579,                0.98084,                0.70776,                 1.2165,              0.0010124,              0.0010124,              0.0010124
                    121,                0.65541,                 0.4113,                0.89895,                0.81266,                0.89535,                0.87819,                 0.6444,                0.99098,                0.70129,                 1.2231,              0.0010069,              0.0010069,              0.0010069
                    122,                0.62348,                0.41348,                0.90466,                0.88285,                0.81205,                0.87413,                0.63909,                0.99369,                0.72621,                 1.2233,              0.0010014,              0.0010014,              0.0010014
                    123,                0.63164,                 0.4251,                0.89984,                0.86856,                0.86901,                0.87795,                0.65143,                 0.9804,                0.68466,                 1.2167,             0.00099587,             0.00099587,             0.00099587
                    124,                0.63203,                0.41266,                0.90055,                0.85913,                0.87888,                 0.8783,                0.63972,                  1.011,                0.71382,                 1.1911,             0.00099036,             0.00099036,             0.00099036
                    125,                0.61337,                0.39718,                 0.8786,                0.84163,                0.87712,                0.87962,                0.64926,                0.98157,                0.68959,                 1.1903,             0.00098486,             0.00098486,             0.00098486
                    126,                0.58111,                0.38065,                0.87768,                0.84359,                0.87845,                0.87314,                0.65154,                0.98813,                0.68289,                 1.2018,             0.00097936,             0.00097936,             0.00097936
                    127,                0.60123,                0.38454,                0.89202,                0.82506,                0.88629,                0.87124,                 0.6531,                0.99951,                0.69248,                 1.2287,             0.00097386,             0.00097386,             0.00097386
                    128,                0.62388,                0.39308,                0.90725,                0.81759,                0.88028,                0.87817,                0.65388,                  1.003,                0.74677,                 1.2205,             0.00096836,             0.00096836,             0.00096836
                    129,                0.60726,                0.40022,                0.88503,                0.86189,                0.84446,                0.85923,                0.63586,                 1.0061,                0.71454,                 1.2479,             0.00096286,             0.00096286,             0.00096286
                    130,                0.59515,                0.39241,                0.88802,                0.86185,                0.83506,                0.86619,                 0.6419,                0.98617,                0.71172,                 1.2229,             0.00095736,             0.00095736,             0.00095736
                    131,                0.61798,                0.40559,                0.90316,                0.81958,                0.83732,                0.84883,                0.62169,                 1.0472,                0.78827,                 1.2794,             0.00095186,             0.00095186,             0.00095186
                    132,                0.62769,                0.41241,                0.88982,                0.81962,                0.83127,                0.84593,                0.61415,                 1.0849,                0.80124,                 1.3264,             0.00094636,             0.00094636,             0.00094636
                    133,                0.60758,                0.40224,                 0.8909,                0.81097,                0.89003,                 0.8688,                0.64952,                0.97769,                0.68016,                 1.2252,             0.00094085,             0.00094085,             0.00094085
                    134,                0.60428,                0.39135,                0.88431,                0.87016,                0.83685,                0.86171,                0.64853,                0.98718,                 0.7024,                 1.2482,             0.00093535,             0.00093535,             0.00093535
                    135,                 0.5875,                0.38613,                0.88173,                0.83732,                  0.858,                0.84779,                0.63102,                0.99161,                0.73773,                 1.2323,             0.00092985,             0.00092985,             0.00092985
                    136,                  0.616,                0.38587,                0.89141,                0.82789,                0.86421,                0.85475,                0.63552,                0.98303,                0.71727,                 1.2251,             0.00092435,             0.00092435,             0.00092435
                    137,                0.61488,                0.40608,                0.89643,                 0.8373,                0.83284,                0.85852,                0.64805,                0.95555,                0.77111,                 1.1892,             0.00091885,             0.00091885,             0.00091885
                    138,                0.58204,                0.37964,                 0.8775,                0.84873,                 0.8634,                0.87325,                0.64919,                0.96476,                0.74778,                 1.1819,             0.00091335,             0.00091335,             0.00091335
                    139,                0.59167,                0.38264,                 0.8879,                 0.8443,                 0.8501,                0.86718,                0.64113,                0.99521,                0.75827,                 1.1937,             0.00090785,             0.00090785,             0.00090785
                    140,                0.56803,                 0.3637,                0.87938,                0.83613,                0.85177,                  0.862,                0.64643,                0.95663,                0.72606,                  1.196,             0.00090235,             0.00090235,             0.00090235
                    141,                0.56159,                0.36263,                0.87851,                0.84761,                0.84845,                0.87333,                0.65752,                0.97974,                0.70916,                 1.2251,             0.00089685,             0.00089685,             0.00089685
                    142,                0.56721,                0.36677,                0.87234,                0.83856,                0.86452,                0.87723,                0.65696,                0.97895,                 0.7245,                 1.2301,             0.00089134,             0.00089134,             0.00089134
                    143,                0.58061,                0.37422,                0.87956,                0.86256,                0.84818,                0.86901,                0.64244,                0.99716,                0.71906,                 1.2311,             0.00088584,             0.00088584,             0.00088584
                    144,                0.60456,                0.39983,                0.87551,                0.82777,                0.85291,                0.84292,                0.63559,                0.99377,                0.75125,                 1.2401,             0.00088034,             0.00088034,             0.00088034
                    145,                0.59248,                0.37334,                0.88653,                0.84632,                0.84663,                0.85876,                0.63787,                0.99495,                0.75969,                 1.2318,             0.00087484,             0.00087484,             0.00087484
                    146,                0.57498,                0.35879,                0.86732,                0.84257,                0.86993,                 0.8613,                0.64292,                0.98159,                0.71432,                 1.2436,             0.00086934,             0.00086934,             0.00086934
                    147,                0.58617,                0.37546,                 0.8776,                0.87716,                0.85436,                0.85709,                0.63481,                 1.0109,                0.69936,                 1.2649,             0.00086384,             0.00086384,             0.00086384
                    148,                0.57599,                0.36533,                0.88534,                0.86744,                0.85423,                0.85639,                0.63277,                 1.0029,                0.70697,                  1.247,             0.00085834,             0.00085834,             0.00085834
                    149,                0.57169,                 0.3648,                0.88226,                0.85002,                0.86337,                 0.8614,                0.62799,                0.98741,                0.69539,                 1.2177,             0.00085284,             0.00085284,             0.00085284
                    150,                0.57374,                0.36898,                0.88416,                0.84419,                 0.8891,                 0.8566,                0.62125,                0.99513,                0.69039,                  1.214,             0.00084734,             0.00084734,             0.00084734
                    151,                0.56623,                0.36537,                0.86924,                0.85386,                0.85949,                0.85633,                0.62575,                 1.0032,                0.69486,                 1.2144,             0.00084184,             0.00084184,             0.00084184
                    152,                0.58006,                0.38734,                0.88051,                0.84716,                0.87762,                0.87306,                0.64383,                0.98951,                 0.6732,                 1.2172,             0.00083633,             0.00083633,             0.00083633
                    153,                0.57212,                0.38382,                0.88272,                0.82304,                0.86671,                0.87509,                0.63991,                 1.0188,                0.68849,                 1.2518,             0.00083083,             0.00083083,             0.00083083
                    154,                0.55501,                0.36658,                0.86889,                0.86099,                0.86329,                0.88468,                 0.6468,                 1.0065,                0.69219,                 1.2311,             0.00082533,             0.00082533,             0.00082533
